,max_lag,ccf
NK1-COH,2,-0.3643174058023197
NK2-CHI,2,-0.3722718383357696
NK3-FOR,2,-0.36613507414893337
ZF1-ICT,2,-0.26871466919286446
ZC1-EUP,2,-0.273640294589268
ZC2-AMP,2,-0.31257023133693423
ZC3-DEC,2,-0.2467624498317584
ZC4-CLG,0,0.45393300048421403
ZC5-CSM,1,-0.30816057682673187
ZS1-JEL,2,-0.3326456667318746
ZS2-CTH,3,-0.15603457312841282
ZS3-CHA,2,-0.2967856970711075
ZS4-LAR,0,-0.30929603099737724
PZ1-CIL,2,-0.2622312039973549
PZ2-DIN,1,-0.27383342437550684
PZ3-HNF,0,-0.31370822963980105
PP1-DIA,3,-0.18598875348298846
PP2-NAN,0,-0.33204900691025635
PP3-PIC,1,-0.283684264047492
BA1-BAC,0,0.1982989034962904
